id;nom;adresse;email;telephone
1;reciprocal withdrawal;synthesize compressing;"XLX_@1rtdygk";"  4637"
2;Adaptive Nord-Pas-de-Calais Handcrafted;c online;"Z1rB@XMalxv";"+1643 8"
3;e-markets a;Cotton;"S@ZMiknBtmmc";"50184"
4;Pound;Multi-layered Hryvnia;"ot@1>nih";"+1049 91"
5;Proactive;Borders;"Z0p7tO@ixrh ra";"+1413"
6;client-driven;distributed Avon reboot;"OF_h@Crivwwoz";"7  05"
7;Rubber deposit;Fish Cambridgeshire;"Ev2@Mdjvjsijl";"9479"
8;cohesive efficient;generating;"Lj0@7vuk";"+3118620"
9;SAS Chips Dinar;embrace leading-edge;"SOMvf@Tqbs";"+556154764"
10;Colombie Loan Ingenieur;discrete Chair;"Cs3@hXSBFOkvg";"457"
